# Chunk-averaged data for fix myac2 and group gNa
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/mass
100000 400 10.000000000000002
  276 15.1 0.441 0.101616
  277 15.3 0.3502 0.0806939
  278 15.5 0.1704 0.039264
  279 15.7 0.0387 0.00891734
  280 15.9 0.0004 9.21689e-05
  281 16.1 0 0
  282 16.3 0 0
  283 16.5 0 0
  284 16.7 0 0
  285 16.9 0 0
  286 17.1 0 0
  287 17.3 0 0
  288 17.5 0 0
  289 17.7 0 0
  290 17.9 0 0
  291 18.1 0 0
  292 18.3 0 0
  293 18.5 0 0
  294 18.7 0 0
  295 18.9 0 0
  296 19.1 0 0
  297 19.3 0 0
  298 19.5 0 0
  299 19.7 0 0
  300 19.9 0 0
  301 20.1 0 0
  302 20.3 0 0
  303 20.5 0 0
  304 20.7 0 0
  305 20.9 0 0
  306 21.1 0 0
  307 21.3 0 0
  308 21.5 0 0
  309 21.7 0 0
  310 21.9 0 0
  311 22.1 0 0
  312 22.3 0 0
  313 22.5 0 0
  314 22.7 0 0
  315 22.9 0 0
  316 23.1 0 0
  317 23.3 0 0
  318 23.5 0 0
  319 23.7 0 0
  320 23.9 0 0
  321 24.1 0 0
  322 24.3 0 0
  323 24.5 0 0
  324 24.7 0 0
  325 24.9 0 0
  326 25.1 0 0
  327 25.3 0 0
  328 25.5 0 0
  329 25.7 0 0
  330 25.9 0 0
  331 26.1 0 0
  332 26.3 0 0
  333 26.5 0 0
  334 26.7 0 0
  335 26.9 0 0
  336 27.1 0 0
  337 27.3 0 0
  338 27.5 0 0
  339 27.7 0 0
  340 27.9 0 0
  341 28.1 0 0
  342 28.3 0 0
  343 28.5 0 0
  344 28.7 0 0
  345 28.9 0 0
  346 29.1 0 0
  347 29.3 0 0
  348 29.5 0 0
  349 29.7 0 0
  350 29.9 0 0
  351 30.1 0 0
  352 30.3 0 0
  353 30.5 0 0
  354 30.7 0 0
  355 30.9 0 0
  356 31.1 0 0
  357 31.3 0 0
  358 31.5 0 0
  359 31.7 0 0
  360 31.9 0 0
  361 32.1 0 0
  362 32.3 0 0
  363 32.5 0 0
  364 32.7 0 0
  365 32.9 0 0
  366 33.1 0 0
  367 33.3 0 0
  368 33.5 0 0
  369 33.7 0 0
  370 33.9 0 0
  371 34.1 0 0
  372 34.3 0 0
  373 34.5 0 0
  374 34.7 0 0
  375 34.9 0 0
  376 35.1 0 0
  377 35.3 0 0
  378 35.5 0 0
  379 35.7 0 0
  380 35.9 0 0
  381 36.1 0 0
  382 36.3 0 0
  383 36.5 0 0
  384 36.7 0 0
  385 36.9 0 0
  386 37.1 0 0
  387 37.3 0 0
  388 37.5 0 0
  389 37.7 0 0
  390 37.9 0 0
  391 38.1 0 0
  392 38.3 0 0
  393 38.5 0 0
  394 38.7 0 0
  395 38.9 0 0
  396 39.1 0 0
  397 39.3 0 0
  398 39.5 0 0
  399 39.7 0 0
  400 39.9 0 0
